iter	RMSE
181	4.892901216
182	4.887210268
183	4.886619552
184	4.884475595
185	4.879138698
186	4.875307546
187	4.86977627
188	4.862801387
189	4.860190557
190	4.855224418
191	4.85251289
192	4.847768225
193	4.842326967
194	4.838724553
195	4.835490606
196	4.833630176
197	4.829942203
198	4.82696579
199	4.822160867
200	4.819147895
201	4.816498957
202	4.81360524
203	4.811026118
204	4.809126665
205	4.806814637
206	4.804421342
207	4.799968528
208	4.796935467
209	4.794658238
210	4.790680729
211	4.787116084
212	4.784156627
213	4.782585876
214	4.777335283
215	4.775451713
216	4.772640943
217	4.768632525
218	4.766778202
219	4.763891102
220	4.761146688
221	4.756364633
222	4.753201515
223	4.750750315
224	4.748174538
225	4.743493023
226	4.742167036
227	4.740894563
228	4.738414725
229	4.732159388
230	4.731131955
231	4.728003806
232	4.72485964
233	4.72346229
234	4.721653282
235	4.718712587
236	4.716934068
237	4.713216063
238	4.710090461
239	4.708170913
240	4.704821045
241	4.702024048
242	4.699121039
243	4.694826861
244	4.687664092
245	4.685709099
246	4.684369166
247	4.680840127
248	4.679463143
249	4.672719043
250	4.667981009
251	4.661556364
252	4.658833561
253	4.657243285
254	4.649312557
255	4.646517626
256	4.641636702
257	4.639527804
258	4.635477402
259	4.633282605
260	4.627731807
261	4.623348992
262	4.620742588
263	4.618151335
264	4.614283666
265	4.609130651
266	4.606624371
267	4.604769448
268	4.600463437
269	4.593048589
270	4.590200594
271	4.586396857
272	4.585723539
273	4.581547658
274	4.57532059
275	4.571786633
276	4.567457406
277	4.565425736
278	4.56007037
279	4.559004844
280	4.557592124
281	4.557374436
282	4.55262487
283	4.548024824
284	4.543116688
285	4.541888488
286	4.539175329
287	4.536286491
288	4.533662488
289	4.529286806
290	4.527458933
291	4.522981207
292	4.519740618
293	4.518426742
294	4.518139976
295	4.517828086
296	4.513458846
297	4.510248901
298	4.505987883
299	4.502478818
300	4.501279463
301	4.495510687
302	4.492361908
303	4.487897068
304	4.483788141
305	4.480445055
306	4.478110415
307	4.472084233
308	4.468539592
309	4.466772583
310	4.462581479
311	4.461965545
312	4.460833554
313	4.460311736
314	4.455484035
315	4.449749356
316	4.447821223
317	4.443594883
318	4.440589232
319	4.439878637
320	4.435680802
321	4.432980802
322	4.427998901
323	4.424994783
324	4.421953313
325	4.419197315
326	4.418759544
327	4.415271385
328	4.413651997
329	4.411054842
330	4.40948143
331	4.408675455
332	4.405356187
333	4.402020042
334	4.397177672
335	4.39252769
336	4.390714576
337	4.383979358
338	4.380993883
339	4.379964919
340	4.378188043
341	4.376087925
342	4.371462082
343	4.365091228
344	4.36176891
345	4.356712587
346	4.356427723
347	4.351733251
348	4.348811367
349	4.343901454
350	4.338685083
351	4.337508399
352	4.336679538
353	4.331464126
354	4.329472275
355	4.326904132
356	4.323716089
357	4.319549667
358	4.31608423
359	4.311023576
360	4.310865222
361	4.310009042
362	4.30715453
363	4.304387714
364	4.301649818
365	4.300404052
366	4.298173615
367	4.29436648
368	4.293646331
369	4.291302029
370	4.288428709
371	4.283872057
372	4.282034231
373	4.279990317
374	4.277403494
375	4.272922827
376	4.272677103
377	4.267919387
378	4.267699567
379	4.263677276
380	4.26269338
381	4.261959668
382	4.261334125
383	4.256952606
384	4.255607664
385	4.252649198
386	4.251151237
387	4.247668498
388	4.242043322
389	4.238124615
390	4.234893915
391	4.23052689
392	4.226383627
393	4.223806136
394	4.221101079
395	4.218937486
396	4.217284616
397	4.213295279
398	4.210969283
399	4.208619043
400	4.205196446
401	4.202157061
402	4.201548024
403	4.199496802
404	4.199304377
405	4.199106935
406	4.197167098
407	4.194977037
408	4.192730528
409	4.18777514
410	4.185452495
411	4.185032298
412	4.181779768
413	4.178608164
414	4.174263524
415	4.173174054
416	4.169914387
417	4.166511028
418	4.164897264
419	4.163274015
420	4.160134217
421	4.155347586
422	4.154713146
423	4.152508668
424	4.152334874
425	4.150614587
426	4.146279882
427	4.142612958
428	4.138386433
429	4.132835676
430	4.127721327
431	4.125773068
432	4.124032809
433	4.121075555
434	4.118044207
435	4.117518256
436	4.116069996
437	4.113649539
438	4.11073949
439	4.107722626
440	4.106241339
441	4.103276676
442	4.098720827
443	4.096179325
444	4.095392372
445	4.092300099
446	4.091199309
447	4.08839118
448	4.085450822
449	4.085202723
450	4.080594626
451	4.079405664
452	4.07675517
453	4.072915938
454	4.068109109
455	4.066212366
456	4.062916425
457	4.062584639
458	4.060516905
459	4.056879821
460	4.054131272
461	4.048686095
462	4.045896579
463	4.041496273
464	4.038478937
465	4.034828537
466	4.033766568
467	4.033424726
468	4.030337511
469	4.027139196
470	4.023128732
471	4.019847576
472	4.016768025
473	4.01354329
474	4.013469891
475	4.013327944
476	4.010561539
477	4.010388838
478	4.004994954
479	4.001688694
480	3.999096492
481	3.995819107
482	3.993116616
483	3.99110593
484	3.986877855
485	3.982692391
486	3.978972666
487	3.976409521
488	3.972304422
489	3.971668617
490	3.968926577
491	3.965543782
492	3.963614449
493	3.961225459
494	3.959140709
495	3.958443135
496	3.956647709
497	3.955003624
498	3.952416644
499	3.948565267
500	3.945757837
501	3.942707907
502	3.941021931
503	3.937405922
504	3.936657236
505	3.93306096
506	3.931110941
507	3.927631639
508	3.926698365
509	3.925317601
510	3.922043355
511	3.921916368
512	3.920851672
513	3.920209572
514	3.917927101
515	3.916894201
516	3.914512958
517	3.910845671
518	3.910378008
519	3.910098107
520	3.909393111
521	3.906006797
522	3.901874555
523	3.899686344
524	3.896819173
525	3.8956198
526	3.892814615
527	3.892513657
528	3.888883279
529	3.884438076
530	3.884242549
531	3.879839333
532	3.876505666
533	3.876192543
534	3.874393885
535	3.870774581
536	3.869854122
537	3.865925563
538	3.863254536
539	3.861756959
540	3.857698087
541	3.855609258
542	3.853708856
543	3.852373601
544	3.8498578
545	3.845122578
546	3.843245069
547	3.841431076
548	3.84000153
549	3.835743315
550	3.835149922
551	3.831306516
552	3.827869934
553	3.823658017
554	3.821269543
555	3.821018193
556	3.817510585
557	3.815176309
558	3.81503952
559	3.811680611
560	3.80816603
561	3.806383808
562	3.804547708
563	3.801442629
564	3.799062223
565	3.796598878
566	3.793768747
567	3.791632156
568	3.787102949
569	3.785114266
570	3.7829788
571	3.782404858
572	3.781150388
573	3.780509331
574	3.780386132
575	3.777227004
576	3.774119382
577	3.772237709
578	3.770975993
579	3.768510332
580	3.767179674
581	3.764262694
582	3.761336043
583	3.760289998
584	3.756663023
585	3.754943687
586	3.752592139
587	3.74860813
588	3.74778176
589	3.742192654
590	3.739836337
591	3.73950073
592	3.739406405
593	3.738860719
594	3.735670815
595	3.733606244
596	3.731628801
597	3.728462576
598	3.728341785
599	3.724266245
600	3.722405483
601	3.722270918
602	3.721420552
603	3.720370111
604	3.717955931
605	3.71541193
606	3.714072218
607	3.710933527
608	3.708810585
609	3.705565459
610	3.702869638
611	3.702072171
612	3.699901133
613	3.696828202
614	3.696589549
615	3.694316897
616	3.692719531
617	3.692621448
618	3.692509741
619	3.690970982
620	3.687468127
621	3.685231496
622	3.685112416
623	3.68247931
624	3.682368972
625	3.678266325
626	3.677970402
627	3.67635812
628	3.674127113
629	3.673523181
630	3.673394901
631	3.671701008
632	3.67034897
633	3.66815666
634	3.665040312
635	3.662761013
636	3.660443335
637	3.657295264
638	3.657157027
639	3.653777166
640	3.650596836
641	3.648366468
642	3.646992818
643	3.644498607
644	3.640645255
645	3.636865563
646	3.634490294
647	3.632882045
648	3.631757738
649	3.627384249
650	3.626445104
651	3.624280124
652	3.623194622
653	3.619325708
654	3.61863784
655	3.615144859
656	3.615059621
657	3.612288882
658	3.610585817
659	3.606805979
660	3.606094214
661	3.606010097
662	3.60336033
663	3.60297381
664	3.602678767
665	3.599567399
666	3.596617641
667	3.595628363
668	3.595514486
669	3.594453766
670	3.591635796
671	3.588036024
672	3.58731245
673	3.586213845
674	3.58602243
675	3.5836179
676	3.583005579
677	3.58054636
678	3.577025832
679	3.575835846
680	3.573740201
681	3.570241068
682	3.57014095
683	3.567366157
684	3.565294359
685	3.562139842
686	3.557448959
687	3.554669295
688	3.55288574
689	3.552476881
690	3.548348855
691	3.546987618
692	3.542422708
693	3.539850043
694	3.539436083
695	3.536207763
696	3.534293048
697	3.532059705
698	3.530814204
699	3.52879098
700	3.52831754
701	3.526288697
702	3.52498945
703	3.524221975
704	3.522119267
705	3.52118618
706	3.519271184
707	3.51915443
708	3.515599782
709	3.513436792
710	3.513357966
711	3.511640348
712	3.510283463
713	3.507536029
714	3.506976903
715	3.504119425
716	3.500484742
717	3.49734256
718	3.495530067
719	3.492253768
720	3.491710378
721	3.491558638
722	3.490902491
723	3.487790145
724	3.485876276
725	3.483923851
726	3.480800395
727	3.478580834
728	3.47638935
729	3.475589156
730	3.473593062
731	3.470389788
732	3.468603643
733	3.465518914
734	3.464056868
735	3.461277893
736	3.460218304
737	3.458072871
738	3.455793651
739	3.454521346
740	3.450396382
741	3.44895029
742	3.447542498
743	3.444955553
744	3.441035717
745	3.439080929
746	3.436013957
747	3.432537401
748	3.430339815
749	3.428967537
750	3.427766144
751	3.425749001
752	3.425324902
753	3.423693751
754	3.423169743
755	3.421016584
756	3.418182228
757	3.417079486
758	3.415964149
759	3.415370582
760	3.412464699
761	3.412379343
762	3.411177314
763	3.408878744
764	3.405053979
765	3.40068327
766	3.399034051
767	3.397101321
768	3.394865901
769	3.391631174
770	3.391249395
771	3.388685072
772	3.386553502
773	3.383153569
774	3.380754214
775	3.379678461
776	3.377867748
777	3.375211713
778	3.373782058
779	3.372294944
780	3.370612676
781	3.367261346
782	3.366348078
783	3.362717159
784	3.362650796
785	3.360381509
786	3.35860739
787	3.356688953
788	3.354252933
789	3.352723247
790	3.352115583
791	3.349453534
792	3.349346942
793	3.348167907
794	3.347070323
795	3.343808374
796	3.343067975
797	3.342882502
798	3.342846246
799	3.341773342
800	3.339929876
801	3.338474104
802	3.337505243
803	3.334880552
804	3.334834024
805	3.332238786
806	3.329212128
807	3.326346971
808	3.324430291
809	3.323098802
810	3.321743559
811	3.318987383
812	3.315829112
813	3.315675392
814	3.313219799
815	3.312883638
816	3.310706956
817	3.30724918
818	3.306114785
819	3.305053388
820	3.302972809
821	3.300692537
822	3.299636412
823	3.299538676
824	3.298496766
825	3.297599608
826	3.295778899
827	3.293498679
828	3.292523539
829	3.289560786
830	3.288324422
831	3.286475782
832	3.286205246
833	3.283653529
834	3.282140135
835	3.280790745
836	3.277814869
837	3.275788708
838	3.27396921
839	3.271682401
840	3.270276992
841	3.27023321
842	3.266579845
843	3.264134672
844	3.262977118
845	3.262876281
846	3.261810558
847	3.260036836
848	3.258750295
849	3.256841706
850	3.254530289
851	3.253844622
852	3.252387557
853	3.249482712
854	3.247898373
855	3.24598817
856	3.244518435
857	3.24444052
858	3.243419875
859	3.2418029
860	3.240270738
861	3.238127192
862	3.236732194
863	3.235180694
864	3.232217293
865	3.23146439
866	3.228894132
867	3.227961527
868	3.225901779
869	3.222360388
870	3.220318161
871	3.218945916
872	3.217131135
873	3.216339927
874	3.215200378
875	3.214023934
876	3.212464287
877	3.212393563
878	3.21112881
879	3.208596261
880	3.206948425
881	3.204950595
882	3.202204559
883	3.201295355
884	3.199698051
885	3.196669905
886	3.19494865
887	3.192130907
888	3.191029675
889	3.187797594
890	3.186983568
891	3.186304574
892	3.185943513
893	3.18482021
894	3.184295513
895	3.183224896
896	3.180739293
897	3.179429264
898	3.177944799
899	3.175555459
900	3.173791368
901	3.171596139
902	3.169942676
903	3.169846255
904	3.169745354
905	3.168810854
906	3.168586929
907	3.167708644
908	3.166927435
909	3.165527681
910	3.164370789
911	3.162967621
912	3.16221651
913	3.159680528
914	3.159633015
915	3.158676872
916	3.158005339
917	3.156872868
918	3.1567748
919	3.155645535
920	3.153982664
921	3.151967611
922	3.151696876
923	3.151161424
924	3.149415741
925	3.149364594
926	3.146946229
927	3.14528968
928	3.143995841
929	3.142461909
930	3.140791387
931	3.140219369
932	3.139701252
933	3.139095655
934	3.13750034
935	3.13613167
936	3.132046666
937	3.13077208
938	3.128779242
939	3.127943196
940	3.12598663
941	3.125201329
942	3.123761196
943	3.120954913
944	3.118071496
945	3.116038231
946	3.114584582
947	3.112677319
948	3.11192106
949	3.109889844
950	3.109318437
951	3.106897063
952	3.105667573
953	3.104834847
954	3.104589858
955	3.103640579
956	3.103225325
957	3.100946535
958	3.099952065
959	3.097634455
960	3.09634592
961	3.095831267
962	3.094120715
963	3.093365506
964	3.090380298
965	3.089071277
966	3.087240457
967	3.084841102
968	3.084264812
969	3.083228868
970	3.080644238
971	3.080364108
972	3.079893437
973	3.077411896
974	3.076178225
975	3.076154284
976	3.075028637
977	3.07229328
978	3.070817611
979	3.069578526
980	3.06914115
981	3.068181502
982	3.066298366
983	3.064685755
984	3.062813559
985	3.061216751
986	3.061019318
987	3.060608351
988	3.059188698
989	3.058201968
990	3.055986229
991	3.055945832
992	3.055733913
993	3.053567626
994	3.050800888
995	3.050761025
996	3.049578376
997	3.049389358
998	3.047453113
999	3.046673982
